query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
Q9I786	1na3-assembly1.cif.gz_A	0.186	86	63	0	32	117	8	86	6.775E-02	108
Q9I786	8ump-assembly1.cif.gz_A	0.222	81	57	0	32	112	7	80	1.457E-01	100
Q9I786	1na3-assembly2.cif.gz_B	0.190	84	62	0	32	115	8	84	1.626E-01	98
Q9I786	6vfh-assembly1.cif.gz_A	0.204	85	64	0	31	115	6	86	1.916E-01	94
Q9I786	1na0-assembly1.cif.gz_A	0.184	86	69	0	30	115	1	86	1.380E-01	91
Q9I786	6v8e-assembly1.cif.gz_A	0.211	83	62	0	30	112	2	80	1.814E-01	90
Q9I786	6v8e-assembly2.cif.gz_F	0.207	82	59	0	31	112	6	80	3.135E-01	90
Q9I786	3vty-assembly4.cif.gz_D	0.237	76	55	0	40	115	78	150	1.109E-01	88
Q9I786	6vfk-assembly1.cif.gz_A	0.207	82	59	0	31	112	7	81	3.498E-01	87
Q9I786	4gcn-assembly2.cif.gz_B	0.172	81	63	0	32	108	45	125	2.519E-01	87
Q9I786	3kd7-assembly5.cif.gz_E	0.159	88	68	0	28	115	1	82	3.498E-01	85
Q9I786	8bu0-assembly1.cif.gz_A	0.207	79	59	0	37	115	9	84	2.660E-01	85
Q9I786	8fwd-assembly1.cif.gz_0	0.180	83	62	0	31	113	6	81	4.857E-01	83
Q9I786	6vl6-assembly1.cif.gz_B	0.215	85	63	0	31	115	5	85	4.598E-01	82
Q9I786	2wqh-assembly1.cif.gz_A-2	0.195	84	64	0	32	115	9	88	4.121E-01	82
Q9I786	4ga2-assembly1.cif.gz_A	0.175	74	55	0	39	112	35	102	3.902E-01	82
Q9I786	3kd7-assembly2.cif.gz_B	0.164	85	65	0	28	112	1	79	4.598E-01	81
Q9I786	7tj4-assembly2.cif.gz_C	0.184	92	67	0	22	113	6	88	2.024E-01	81
Q9I786	2vyi-assembly2.cif.gz_B	0.192	81	62	0	34	114	11	88	4.121E-01	81
Q9I786	1hxi-assembly1.cif.gz_A	0.166	90	68	0	26	115	14	96	4.598E-01	80
Q9I786	3uq3-assembly1.cif.gz_A	0.207	80	62	0	35	114	45	123	5.723E-01	80
Q9I786	2pl2-assembly1.cif.gz_B	0.162	80	59	0	33	112	120	191	3.694E-01	78
Q9I786	6q6h-assembly1.cif.gz_K	0.175	107	82	0	6	112	390	489	2.519E-01	78
Q9I786	6vfi-assembly1.cif.gz_B	0.231	82	57	0	31	112	6	80	7.123E-01	76
Q9I786	5hrz-assembly1.cif.gz_A	0.225	111	72	0	5	115	24	117	3.311E-01	76
Q9I786	2vgx-assembly1.cif.gz_B	0.141	103	82	0	13	115	8	104	3.902E-01	76
Q9I786	3ma5-assembly1.cif.gz_A	0.141	87	72	0	30	114	2	88	4.857E-01	75
Q9I786	2kcl-assembly1.cif.gz_A	0.126	90	76	0	30	117	5	94	5.418E-01	75
Q9I786	2xcb-assembly1.cif.gz_A	0.135	81	63	0	32	112	14	87	9.891E-01	75
Q9I786	2avp-assembly1.cif.gz_A	0.176	68	50	0	32	99	5	66	7.947E-01	74
Q9I786	8fwd-assembly1.cif.gz_L	0.200	85	62	0	31	115	6	83	8.866E-01	74
Q9I786	6vfj-assembly1.cif.gz_B	0.215	85	63	0	31	115	6	86	7.123E-01	74
Q9I786	7tb1-assembly2.cif.gz_B	0.150	80	62	0	34	113	7	80	7.947E-01	74
Q9I786	2xcc-assembly1.cif.gz_B	0.163	96	74	0	17	112	1	89	4.598E-01	74
Q9I786	4ynw-assembly2.cif.gz_B	0.171	70	56	0	30	99	5	72	1.045E+00	74
Q9I786	8fwd-assembly1.cif.gz_A	0.171	76	57	0	39	114	48	117	9.891E-01	73
Q9I786	4ga0-assembly1.cif.gz_A	0.140	107	83	0	6	112	4	101	4.857E-01	73
Q9I786	7tb1-assembly1.cif.gz_A	0.127	84	69	0	30	113	1	80	7.947E-01	72
Q9I786	7tdz-assembly1.cif.gz_P	0.117	109	87	0	4	112	5	103	6.045E-01	72
Q9I786	7dkh-assembly2.cif.gz_E	0.114	105	85	0	5	109	153	249	3.902E-01	72
Q9I786	5lyn-assembly1.cif.gz_B	0.154	82	66	0	34	115	15	93	9.891E-01	71
Q9I786	2vgx-assembly1.cif.gz_A	0.126	84	69	0	32	115	20	99	9.891E-01	71
Q9I786	8a5y-assembly1.cif.gz_F	0.157	108	83	0	5	112	402	501	7.524E-01	71
Q9I786	8a61-assembly1.cif.gz_J	0.218	107	75	0	8	114	405	501	4.598E-01	71
Q9I786	5fzr-assembly1.cif.gz_B	0.126	84	69	0	33	116	8	87	8.394E-01	70
Q9I786	2xev-assembly1.cif.gz_A	0.181	86	69	0	30	115	2	86	1.166E+00	70
Q9I786	6vl6-assembly1.cif.gz_A	0.195	82	60	0	35	116	48	122	9.364E-01	70
Q9I786	4kbq-assembly2.cif.gz_B	0.150	80	62	0	34	113	9	82	1.166E+00	70
Q9I786	3sz7-assembly1.cif.gz_A	0.154	94	76	0	22	115	1	91	6.385E-01	70
Q9I786	3vtx-assembly2.cif.gz_B	0.237	76	55	0	40	115	84	156	4.353E-01	70
Q9I786	4uzy-assembly1.cif.gz_A	0.164	95	76	0	21	115	1	92	5.418E-01	70
Q9I786	7yeh-assembly1.cif.gz_A	0.176	85	63	0	33	117	143	220	8.394E-01	70
Q9I786	6zbk-assembly1.cif.gz_A	0.118	76	61	0	39	114	45	114	1.373E+00	69
Q9I786	7y4i-assembly1.cif.gz_A	0.174	83	64	0	33	115	132	210	7.947E-01	69
Q9I786	4jl0-assembly2.cif.gz_B	0.166	84	69	0	32	115	13	96	4.598E-01	68
Q9I786	8fyu-assembly2.cif.gz_A	0.150	80	62	0	34	113	8	81	1.300E+00	68
Q9I786	3q4a-assembly1.cif.gz_B	0.150	80	62	0	34	113	9	82	1.300E+00	68
Q9I786	4ydo-assembly1.cif.gz_A	0.166	112	88	0	1	112	197	302	2.810E-01	68
